PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
;0;;;;;;;;-75;-100;;;;;;;39.656682;-0.208697;0;4;0;0;;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:22:00;--
21407.0;3;75145598.0;41342.0;;4660.0;56.0;3034.0;900 B8;-75;-100;-24.0;;;;;;39.656651;-0.208739;4;4;0;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:23:48;HOME
21407.0;3;75145598.0;41342.0;;4660.0;56.0;3034.0;900 B8;-75;-100;-24.0;;;;;;39.65662;-0.208781;4;4;0;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:23:50;HOME
21407.0;3;75145598.0;41342.0;;4660.0;56.0;3034.0;900 B8;-74;-99;-24.0;;;;;;39.656604;-0.208826;4;3;130;59;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:23:53;HOME
21407.0;3;75145598.0;41342.0;;4660.0;56.0;3034.0;900 B8;-73;-98;-24.0;;;;;;39.656585;-0.208874;4;3;162;64;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:23:57;HOME
21407.0;3;75154848.0;50592.0;;4660.0;56.0;3034.0;900 B8;-74;-99;-24.0;;;;;;39.656564;-0.208914;4;3;9;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:00;HOME
21407.0;3;75154848.0;50592.0;;4660.0;56.0;3034.0;900 B8;-74;-99;-24.0;;;;;;39.656546;-0.208958;4;3;73;50;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:04;HOME
21407.0;3;75154848.0;50592.0;;4660.0;56.0;3034.0;900 B8;-73;-98;-24.0;;;;;;39.656532;-0.209002;4;3;137;15;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:07;HOME
21407.0;3;;;;4660.0;56.0;3034.0;900 B8;-72;-97;-24.0;;;;;;39.656507;-0.209043;4;3;228;155;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:10;HOME
21407.0;3;75145598.0;41342.0;;4660.0;56.0;3034.0;900 B8;-72;-97;-24.0;;;;;;39.656484;-0.209085;4;3;1;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:14;HOME
21407.0;3;75154848.0;50592.0;;4660.0;56.0;3034.0;900 B8;-72;-97;-24.0;;;;;;39.656464;-0.209123;4;3;1;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:18;HOME
21407.0;3;75154848.0;50592.0;;4660.0;56.0;3034.0;900 B8;-73;-98;-24.0;;;;;;39.656436;-0.209157;4;3;1;3;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:22;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-70;-95;-24.0;;;;;;39.656412;-0.209198;4;3;58;62;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:25;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-72;-97;-24.0;;;;;;39.656385;-0.209233;4;3;307;733;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:29;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-69;-94;-24.0;;;;;;39.656351;-0.209264;4;3;0;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:33;HOME
21407.0;3;75145598.0;41342.0;;4660.0;464.0;3034.0;900 B8;-68;-93;-24.0;;;;;;39.656321;-0.209295;4;4;382;235;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:36;HOME
21407.0;3;75145598.0;41342.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.656297;-0.209334;4;4;50;11;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:40;HOME
21407.0;3;75145598.0;41342.0;;4660.0;464.0;3034.0;900 B8;-67;-92;-24.0;;;;;;39.656282;-0.209377;4;5;0;6;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:43;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.65627;-0.209424;4;5;0;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:24:47;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.656234;-0.209446;4;7;25;26;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:14;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.656197;-0.209467;4;7;40;16;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:17;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-67;-92;-24.0;;;;;;39.656174;-0.20951;5;6;0;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:20;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.656154;-0.209552;4;5;188;46;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:23;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.656134;-0.209593;4;5;17;6;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:26;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.65612;-0.209642;4;5;121;45;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:29;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.6561;-0.209691;4;5;51;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:32;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.656082;-0.209733;5;5;73;13;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:35;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.656054;-0.20977;5;5;0;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:38;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.656025;-0.209802;4;5;61;10;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:41;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.655998;-0.209835;5;5;60;23;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:44;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.65597;-0.209877;5;5;37;25;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:47;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.655952;-0.209922;4;5;22;13;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:51;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.65593;-0.209967;4;5;0;0;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:54;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-67;-92;-24.0;;;;;;39.655912;-0.210013;4;5;13;21;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:27:58;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.6559;-0.210066;4;5;11;40;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:28:01;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.655892;-0.210112;4;5;10;8;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:28:04;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.655856;-0.210133;4;5;9;1;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:28:08;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.655818;-0.210158;4;5;33;486;5000.0;5;1;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:28:11;HOME
21407.0;3;75145598.0;41342.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.655814;-0.210205;5;4;0;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:00;HOME
21407.0;3;75145598.0;41342.0;;4660.0;464.0;3034.0;900 B8;-64;-89;-24.0;;;;;;39.655837;-0.210249;5;6;287;0;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:02;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.655852;-0.210296;5;6;9;11;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:05;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-66;-91;-24.0;;;;;;39.655864;-0.210345;5;5;76;15;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:08;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-62;-87;-24.0;;;;;;39.655881;-0.210398;5;5;1;9;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:11;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-65;-90;-24.0;;;;;;39.655898;-0.210449;5;5;91;15;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:14;HOME
21407.0;3;75154848.0;50592.0;;4660.0;464.0;3034.0;900 B8;-67;-92;-24.0;;;;;;39.655912;-0.210495;5;5;14;29;5000.0;5;0;none;;;;;;;;;;--;--;DATOS 3G AJUSTADOS/SIMULADOS PARA PRUEBAS VISUALES DEL SOFTWARE. No usar como medida real del TFM.;2026/05/11;21:29:17;HOME
